thread_id,start,end,minutes_seconds,duration
0,17:30.4,07-02-2022 16:17:30.54,17:30.536,127
1,17:30.5,07-02-2022 16:17:30.61,17:30.612,68
2,17:30.6,07-02-2022 16:17:30.68,17:30.681,69
3,17:30.7,07-02-2022 16:17:30.75,17:30.747,66
4,17:30.7,07-02-2022 16:17:30.82,17:30.824,76
5,17:30.8,07-02-2022 16:17:30.90,17:30.904,80
6,17:30.9,07-02-2022 16:17:30.97,17:30.970,66
7,17:31.0,07-02-2022 16:17:31.04,17:31.038,68
8,17:31.0,07-02-2022 16:17:31.10,17:31.104,66
9,17:31.1,07-02-2022 16:17:31.17,17:31.169,65
10,17:31.2,07-02-2022 16:17:31.23,17:31.234,65
11,17:31.2,07-02-2022 16:17:31.30,17:31.303,69
12,17:31.3,07-02-2022 16:17:31.37,17:31.369,66
13,17:31.4,07-02-2022 16:17:31.43,17:31.434,65
14,17:31.4,07-02-2022 16:17:31.50,17:31.500,66
15,17:31.5,07-02-2022 16:17:31.57,17:31.565,65
16,17:31.6,07-02-2022 16:17:31.63,17:31.631,66
17,17:31.6,07-02-2022 16:17:31.70,17:31.696,65
18,17:31.7,07-02-2022 16:17:31.76,17:31.762,66
19,17:31.8,07-02-2022 16:17:31.83,17:31.827,65
20,17:31.8,07-02-2022 16:17:31.89,17:31.894,67
21,17:31.9,07-02-2022 16:17:31.96,17:31.959,65
22,17:32.0,07-02-2022 16:17:32.02,17:32.025,65
23,17:32.0,07-02-2022 16:17:32.09,17:32.092,67
24,17:32.1,07-02-2022 16:17:32.16,17:32.158,66
25,17:32.2,07-02-2022 16:17:32.23,17:32.226,68
26,17:32.2,07-02-2022 16:17:32.29,17:32.292,66
27,17:32.3,07-02-2022 16:17:32.36,17:32.358,66
28,17:32.4,07-02-2022 16:17:32.42,17:32.424,66
29,17:32.4,07-02-2022 16:17:32.49,17:32.488,64
30,17:32.5,07-02-2022 16:17:32.55,17:32.554,66
31,17:32.6,07-02-2022 16:17:32.62,17:32.620,66
32,17:32.6,07-02-2022 16:17:32.69,17:32.686,65
33,17:32.7,07-02-2022 16:17:32.75,17:32.752,66
34,17:32.8,07-02-2022 16:17:32.82,17:32.817,65
35,17:32.8,07-02-2022 16:17:32.88,17:32.882,65
36,17:32.9,07-02-2022 16:17:32.95,17:32.948,66
37,17:32.9,07-02-2022 16:17:33.01,17:33.013,65
38,17:33.0,07-02-2022 16:17:33.08,17:33.081,68
39,17:33.1,07-02-2022 16:17:33.15,17:33.146,65
40,17:33.1,07-02-2022 16:17:33.21,17:33.210,64
41,17:33.2,07-02-2022 16:17:33.28,17:33.276,65
42,17:33.3,07-02-2022 16:17:33.34,17:33.341,65
43,17:33.3,07-02-2022 16:17:33.41,17:33.406,65
44,17:33.4,07-02-2022 16:17:33.47,17:33.471,65
45,17:33.5,07-02-2022 16:17:33.54,17:33.540,69
46,17:33.5,07-02-2022 16:17:33.61,17:33.605,65
47,17:33.6,07-02-2022 16:17:33.67,17:33.670,65
48,17:33.7,07-02-2022 16:17:33.74,17:33.736,66
49,17:33.7,07-02-2022 16:17:33.80,17:33.803,67
50,17:33.8,07-02-2022 16:17:33.87,17:33.868,65
